linkId,linkPoints
4362247,"(40.78819, -73.79052), (40.78879, -73.78895), (40.78912, -73.78771), (40.78941, -73.78573), (40.78948, -73.78448), (40.78941, -73.78255), (40.78924, -73.78116), (40.78896, -73.77992), (40.78854, -73.77866), (40.78809, -73.77765), (40.78754, -73.77664), (40.78704, -73.77592), (40.78644, -73.77521), (40.78542, -73.77427), (40.78417, -73.77319), (40.78275, -73.77194), (40.78044, -73.76956), (40.77936, -73.76877), (40.77758, -73.76791), (40.77556, -73.76686), (40.77385, -73.76566), (40.7725, -73.76438), (40.77031, -73.76177), (40.76957, -73.76093), (40.76861, -73.76037), (40.76702, -73.75958), (40.76541, -73.75909), (40.76404, -73.75854), (40.76274, -73.7576), (40.76184, -73.75659), (40.76122, -73.75569), (40.76073, -73.75459), (40.76029, -73.75325), (40.75958, -73.75113), (40.75911, -73.75002), (40.75838, -73.74885), (40.75735, -73.74775), (40.7561, -73.74655), (40.75521, -73.74575), (40.7533, -73.74425), (40.75227, -73.74337), (40.75119, -73.74238), (40.75034, -73.74137), (40.74971, -73.74049), (40.74879, -73.73895), (40.74798, -73.73775), (40.74719, -73.73683), (40.74611, -73.73568), (40.74533, -73.7346), (40.74489, -73.73316), (40.74517, -73.73155), (40.74596, -73.73054), (40.74697, -73.72962), (40.74759, -73.7291), (40.74954, -73.72841), (40.75043, -73.72797), (40.75135, -73.72719), (40.75201, -73.72642), (40.75276, -73.7252), (40.75356, -73.72389), (40.75435, -73.72301)"
4362249,"(40.74422, -73.77166), (40.74543, -73.76907), (40.7457, -73.76831), (40.7465, -73.7654), (40.74764, -73.76128), (40.74809, -73.76008), (40.74887, -73.75842), (40.7492, -73.75755), (40.74947, -73.75658), (40.75032, -73.75319), (40.75069, -73.75108), (40.75084, -73.75023), (40.75104, -73.7492), (40.75145, -73.7481), (40.75193, -73.74714), (40.7526, -73.74614), (40.75392, -73.74412), (40.75605, -73.74085), (40.75767, -73.73839), (40.75919, -73.73584), (40.75966, -73.73485), (40.75999, -73.73388), (40.76072, -73.73196), (40.76113, -73.73105), (40.76178, -73.72999), (40.76274, -73.72851), (40.76331, -73.72742), (40.7638, -73.72609), (40.76408, -73.72523), (40.76429, -73.72415)"
4362251,"(40.75375, -73.74439), (40.75605, -73.74085), (40.75767, -73.73839), (40.75919, -73.73584), (40.75966, -73.73485), (40.75999, -73.73388), (40.76072, -73.73196), (40.76113, -73.73105), (40.76178, -73.72999), (40.76274, -73.72851), (40.76331, -73.72742), (40.7638, -73.72609), (40.76408, -73.72523), (40.76429, -73.72415)"
4362252,"(40.78897, -73.79054), (40.78894, -73.78957), (40.78923, -73.78775), (40.78958, -73.78552), (40.78964, -73.78466), (40.78952, -73.7821), (40.78937, -73.78109), (40.78911, -73.77983), (40.78865, -73.7785), (40.78822, -73.77755), (40.78766, -73.77649), (40.78715, -73.77579), (40.78654, -73.77508), (40.78552, -73.77412), (40.78425, -73.77304), (40.78283, -73.77176), (40.78054, -73.76939), (40.77944, -73.7686), (40.77764, -73.76773), (40.77564, -73.7667), (40.77393, -73.76551), (40.77259, -73.76425), (40.77043, -73.76165), (40.76972, -73.76092), (40.76881, -73.76023), (40.76713, -73.75943), (40.76412, -73.75834), (40.76333, -73.75785), (40.76197, -73.75647), (40.7614, -73.75564), (40.76092, -73.75469), (40.75971, -73.75091), (40.75906, -73.74959), (40.75842, -73.74862), (40.75719, -73.74725), (40.75674, -73.74674), (40.75612, -73.74557), (40.75569, -73.74431), (40.75542, -73.74279), (40.75552, -73.74215), (40.75596, -73.74128), (40.75649, -73.74037), (40.75666, -73.73997), (40.75937, -73.73552), (40.75971, -73.73471), (40.76011, -73.7336), (40.76066, -73.73204), (40.76119, -73.73096), (40.76267, -73.72866), (40.76316, -73.72778), (40.76358, -73.72675), (40.76407, -73.72526), (40.76429, -73.72416)"
4616351,"(40.71167, -73.72839), (40.71309, -73.72892), (40.71362, -73.72902), (40.71486, -73.7291), (40.71577, -73.72891), (40.71674, -73.72849), (40.71735, -73.72803), (40.71918, -73.72643), (40.72008, -73.72586), (40.72073, -73.72557), (40.72246, -73.72499), (40.72322, -73.7248), (40.73177, -73.72294), (40.73334, -73.72267), (40.73404, -73.72262), (40.73496, -73.72271), (40.73574, -73.72285), (40.73634, -73.72302), (40.73814, -73.72376), (40.73895, -73.72432), (40.74027, -73.72564), (40.74106, -73.72683), (40.74196, -73.72843), (40.74337, -73.73139), (40.74484, -73.73386), (40.74555, -73.73482), (40.74648, -73.73591), (40.74806, -73.73763), (40.74866, -73.7384), (40.74937, -73.73948), (40.75026, -73.74098), (40.75081, -73.74173), (40.75158, -73.74256), (40.75232, -73.74321), (40.7554, -73.7457), (40.75713, -73.74724), (40.75805, -73.7482), (40.75855, -73.74885)"
